ID,Nome,Empreendedor,CPF_CNPJ,Nome da mina,UF,Município,Latitude,Longitude,Posicionamento,Categoria de Risco - CRI,Dano Potencial Associado - DPA,Gestão Operacional,Necessita de PAEBM,Inserido na PNSB,Nível de Emergência,Status DCE RISR,Status DCE RPSB,Status da DCO Atual,Tipo de Barragem de Mineração,A Barragem de Mineração possui outra estrutura de mineração interna selante de reservatório,Quantidade Diques Internos,Quantidade Diques Selantes,A barragem de mineração possui Back Up Dam,Esta Back Up Dam está operando pós rompimento da barragem de mineração,Situação Operacional,Data de Início de Construção,Data de Início de Operação,Estrutura com o Objetivo de Contenção,A Barragem de Mineração está dentro da Área do Processo ANM ou da Área de Servidão,Barragem de mineração é alimentado por usina,Usinas,Minério principal presente no reservatório,Processo de beneficiamento,Produtos químicos utilizados,A Barragem armazena rejeitos/residuos que contenham Cianeto,Teor (%) do minério principal inserido no rejeito,Outras substâncias minerais presentes no reservatório,Altura máxima do projeto licenciado (m),Altura máxima atual (m),Comprimento da crista do projeto (m),Comprimento atual da crista (m),Descarga máxima do vertedouro (m³/seg),Área do reservatório (m²),Tipo de barragem quanto ao material de construção,Tipo de fundação,Fundação,Tempo de Recorrência da Vazão de Projeto,Drenagem Interna,Controle de Compactação,Inclinação Média dos taludes na seção principal,Método construtivo da barragem,Tipo de alteamento,Instrumentação,A Barragem de Mineração possui Manta Impermeabilizante,Confiabilidade das estruturas extravasora,Percolação,Deformações e recalque,Deteriorização dos taludes / paramentos,Drenagem superficial,Documentação de projeto,Estrutura organizacional e qualificação técnica dos profissionais na equipe de Segurança da Barragem,Manuais de Procedimentos para Inspeções de Segurança e Monitoramento,PAE - Plano de Ação Emergencial (quando exigido pelo órgão fiscalizador),As cópias físicas do PAEBM foram entregues para as Prefeituras e Defesas Civis municipais e estaduais,Relatórios de inspeção e monitoramento da instrumentação e de Análise de Segurança,Possui certificações em vigor e/ou adota padrões da indústria,Quais certificações e/ou padrões,Volume de projeto licenciado do Reservatório (m³),Volume atual do Reservatório (m³),Capacidade Total do Reservatório (m³),Existência de população a jusante,Número de pessoas possivelmente afetadas a jusante em caso de rompimento da barragem,Impacto ambiental,Impacto sócio-econômico,Data da Finalização da DCE,Motivo de Envio,RT/Declaração,RT/Empreendimento,O projeto e/ou manual de operação da barragem prevê a existência de linha de praia no reservatório?,A Largura da linha de praia exigida em projeto e/ou manual de operação (m),Menor largura da linha de praia atual (m),Data de Finalização do Último Alteamento,Cota da Crista Atual (m),Fase Atual do projeto de Descaracterização,Data de emissão do projeto Básico de Descaracterização,Data estimada de emissão do projeto executivo de Descaracterização,Data de emissão do projeto executivo de Descaracterização,Qual foi a solução adotada para a descaracterização?,Descrição da Estrutura Remanescente,Data de início das obras de estabilização ou descaracterização,Duração estimada em projeto das obras de estabilização ou descaracterização(em meses),A barragem voltará a operar?,Data de conclusão das obras de estabilização ou descaracterização,Data de Início do Monitoramento Ativo,Duração estimada em projeto do monitoramento ativo (em meses),Data de Início do Monitoramento Passivo,Data de conclusão estimada em projeto Monitoramento Passivo,Nome da Back Up Dam,UF (Back Up Dam),Município (Back Up Dam),Situação operacional da Back Up Dam,Desde (Back Up Dam),Vida útil prevista da Back Up Dam (Anos),Previsão de término de construção da Back Up Dam,A Back Up Dam está dentro da Área do Processo ANM ou da Área de Servidão,Processos associados (Back Up Dam),Posicionamento (Back Up Dam),Latitude (Back Up Dam),Longitude (Back Up Dam),Altura Máxima do projeto da Back Up Dam (m),Comprimento da Crista do projeto da Back Up Dam (m),Volume do projeto da Back Up Dam (m³),Descarga Máxima do vertedouro da Back Up Dam (m³/seg),Existe documento que ateste a segurança estrutural e a capacidade para contenção de rejeitos da Back Up Dam com ART,Existe manual de operação da Back Up Dam,A Back up Dam passou por auditoria de terceira parte,A Back Up Dam garante a redução da área da mancha de inundação à jusante,Tipo de Back Up Dam quanto ao material de construção,Tipo de fundação da Back Up Dam,Vazão de projeto da Back Up Dam,Método construtivo da Back Up Dam,Tipo de auscultação da Back Up Dam,Unidade Gestora,doc_limpo
8938,Marçu,NACIONAL DE GRAFITE LTDA,21228861000100,Grupamento mineiro de Pedra Azul,MG,PEDRA AZUL,-15°53'19.800'',-41°03'36.800'',Sul do Equador,Alta,Média,A,Sim,Sim,Emergência Nivel 1,1º Campanha 2026 - Atestado,Atestado,-,Barragem/Barramento/Dique,Não,0,0,Não,-,Inativa,10/04/1980,15/08/1982,Rejeitos,Não,Não,-,Xisto,Britagem / Moagem; Peneiramento; Outros,-,Não,"1,50",-,"37,00","37,00","262,00","262,00","40,00","94.000,00",Terra Homogênea,Rocha alterada / Saprolito,Fundação investigada conforme projeto,CMP (Cheia Máxima Provável) ou Decamilenar,Sistema de drenagem em desacordo com projeto ou inexistente ou desconhecida ou estudo não confiável ou inoperante,Existem estudos geotécnicos que comprovam o grau de compactação de acordo com projeto,Suave (Inclinação média dos taludes na seção principal <= 1V:3H) Ou Barragem de Concreto,Alteamento a jusante,Por Etapas,Existe instrumentação de acordo com o projeto técnico,Não,0 - Estruturas civis bem mantidas e em operação normal / barragem sem necessidade de estruturas extravasoras,"3 - Umidade ou surgência nas áreas de jusante, paramentos, taludes e ombreiras estáveis e monitorados",0 - Não existem deformações e recalques com potencial de comprometimento da segurança da estrutura,0 - Não existe deterioração de taludes e paramentos,0 - Drenagem superficial existente e operante,Projeto executivo ou 'como construído',Possui unidade administrativa sem profissional técnico qualificado responsável pela segurança da barragem,"Possui manuais de procedimentos para inspeção, monitoramento e operação ou é barragem não enquadrada nos incisos I, II, III ou IV, parágrafo único do art. 1º da Lei nº 12.334/2010",Possui PAE,Sim,"Emite regularmente relatórios de inspeção e monitoramento com base na instrumentação e de Análise de Segurança ou é barragem não enquadrada nos incisos I, II, III ou IV, parágrafo único do art. 1º da Lei nº 12.334/2010",Sim,Adota TSM; Adota ICMM,"1.500.000,00","1.267.824,00","1548200,00","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",-,"Pouco Significativo (Área afetada a jusante da barragem não apresenta área de interesse ambiental relevante ou áreas protegidas em legislação específica (excluidas APPs) e armazena apenas resíduos Classe II B - Inertes, segundo a NBR 10004/2004 da ABNT)","BAIXO (Existe pequena concentração de instalações residenciais, agrícolas, industriais ou de infraestrutura de relevância sócio-econômico-cultural na área afetada a jusante da barragem)",26/03/2026 08:58:37,Campanha de entrega da DCE (março ou setembro),ADALBERTO HIDEO VIANA,CLOVIS CORDEIRO RUDGE RAMOS,Não,0.00,0.00,-,,,,,,,,,,,,,,,,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,CORBL,21228861000100
8939,Rancho Casca,NACIONAL DE GRAFITE LTDA,21228861000100,Grupamento mineiro de Pedra Azul,MG,PEDRA AZUL,-15°55'07.900'',-41°02'20.600'',Sul do Equador,Baixa,Alta,AA,Sim,Sim,Sem emergência,1º Campanha 2026 - Atestado,Atestado,Campanha 2025 - Atestado,Barragem/Barramento/Dique,Não,0,0,Não,-,Ativa,12/09/1985,02/02/1987,Rejeitos,Não,Sim,Usina de Beneficiamento - Pedra Azul,Xisto,Britagem / Moagem; Peneiramento; Outros,-,Não,"1,50",-,"50,00","50,00","300,00","300,00","142,00","1.188.025,45",Terra Homogênea,Rocha alterada / Saprolito,Fundação investigada conforme projeto,CMP (Cheia Máxima Provável) ou Decamilenar,Drenagem construída conforme projeto ou não existe drenagem em projeto,Existem documentos que comprovam o controle de compactação conforme projeto e que comprovam o acompanhamento e controle tecnológico durante a execução,Intermediário (1V:2H >= Inclinação média dos taludes na seção principal > 1V:3H),Etapa única,Por Etapas,Existe instrumentação de acordo com o projeto técnico,Não,3 - Estruturas com problemas identificados e medidas corretivas em implantação,"3 - Umidade ou surgência nas áreas de jusante, paramentos, taludes e ombreiras estáveis e monitorados",0 - Não existem deformações e recalques com potencial de comprometimento da segurança da estrutura,0 - Não existe deterioração de taludes e paramentos,0 - Drenagem superficial existente e operante,Projeto executivo e 'como construído',"Possui unidade administrativa com profissional técnico qualificado responsável pela segurança da barragem ou é barragem não enquadrada nos incisos I, II, III ou IV, parágrafo único do art. 1º da Lei nº 12.334/2010","Possui manuais de procedimentos para inspeção, monitoramento e operação ou é barragem não enquadrada nos incisos I, II, III ou IV, parágrafo único do art. 1º da Lei nº 12.334/2010",Possui PAE,Sim,"Emite regularmente relatórios de inspeção e monitoramento com base na instrumentação e de Análise de Segurança ou é barragem não enquadrada nos incisos I, II, III ou IV, parágrafo único do art. 1º da Lei nº 12.334/2010",Sim,Adota TSM; Adota ICMM,"19.500.000,00","15.828.381,00","23101350,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",1-100,"Muito Significativo (Barragem armazena rejeitos ou resíduos sólidos classificados na Classe II A - Não Inertes, segundo a NBR 10004/2004)","BAIXO (Existe pequena concentração de instalações residenciais, agrícolas, industriais ou de infraestrutura de relevância sócio-econômico-cultural na área afetada a jusante da barragem)",26/03/2026 09:00:12,Campanha de entrega da DCE (março ou setembro),ADALBERTO HIDEO VIANA,CLOVIS CORDEIRO RUDGE RAMOS,Não,0.00,0.00,-,,,,,,,,,,,,,,,,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,Não se aplica a esse tipo de barragem,CORBL,21228861000100
